FAI_CAATS_PROJ_NUM,FMS_TASK_NUM,FMS_OBLIG_NUM,IFAMS_PROJECT_CODE,IFAMS_PROJECT_NAME,IFAMS_PROJECT_SHORT_NAME,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_TASK_CODE,IFAMS_PROJECT_TASK_NAME,IFAMS_SUB_PROJECT,LOAD_DATE
AK-17-02,any,101P95011,AK-17-02,Metlakatla (Tribe),Metlakatla,AK000001,Alaska,T007,Establishment,2017,
AR-17-06,any,101P85011,AR-17-06,North Little Rock,North Little,AR000001,Arkansas,T008,Expansion,2017,
CA-17-11,any,101P95012,CA-17-11,Seaside,Seaside,CA000001,California,T008,Expansion,2017,
CT-16-03,any,101P75005,CT-16-03,Middletown,Middletown,CT000001,Connecticut,T008,Expansion,2016,
CT-16-04,any,101P75004,CT-16-04,Middletown,Middletown,CT000002,Connecticut,T010,Operations and Maintenance,2016,
DE-16-23,any,101P95007,DE-16-23,Millsboro,Millsboro,DE000001,Delaware,T008,Expansion,2016,
HI-10-18,any,101P75011,HI-10-18,Hilo II,Hilo II,HI000001,Hawaii,T009,Improvement,2010,
HI-10-20,any,101P75017,HI-10-20,Lanai,Lanai,HI000002,Hawaii,T009,Improvement,2010,
HI-10-21,any,101P95013,HI-10-21,Kauai,Kauai,HI000003,Hawaii,T008,Expansion,2010,
HI-12-31,any,101P50001,HI-12-31,Maui/Makawao,Maui,HI000004,Hawaii,T008,Expansion,2012,
HI-14-33,any,101P75016,HI-14-33,Maui ,Maui,HI000005,Hawaii,T010,Operations and Maintenance,2014,
HI-17-34,any,101P85013,HI-17-34,West Hawaii,West Hawaii,HI000006,Hawaii,T008,Expansion,2017,
ID-13-05,any,101P95005,ID-13-05,Southeastern,Southeastern,ID000001,Idaho,T007,Establishment,2013,
IN-18-04C,any,101P95003,IN-18-04,Madison,Madison,IN000001,Indiana,T010,Operations and Maintenance,2018,
KY-15-09,any,101P75003,KY-15-09,Radcliff,Radcliff,KY000001,Kentucky,T008,Expansion,2015,
KY-15-10R,any,101P75001,KY-15-10,Hopkinsville,Hopkinsville,KY000002,Kentucky,T008,Expansion,2015,
KY-99-03R,any,101P60024,KY-99-03,Southeastern,Southeastern,KY000003,Kentucky,T007,Establishment,1999,
LA-07-05,any,101P85007,LA-07-05,Jennings,Jennings,LA000001,Louisiana,T007,Establishment,2007,
LA-18-07,any,101P95001,LA-18-07,Slidell,Slidell,LA000002,Louisiana,T008,Expansion,2018,
MD-11-25,any,101P50011,MD-11-25,Crownsville,Crownsville,MD000001,Maryland,T008,Expansion,2011,
MD-13-27,any,101P75018,MD-13-27,Rocky Gap,Rocky Gap,MD000002,Maryland,T008,Expansion,2013,
MD-15-29,any,101P95015,MD-15-29,Cheltenham,Cheltenham,MD000003,Maryland,T008,Expansion,2015,
MD-16-31,any,101P85008,MD-16-31,Garrison Forest,Garrison For,MD000004,Maryland,T008,Expansion,2016,
ME-17-22,any,101P95006,ME-17-22,Springvale,Springvale,ME000001,Maine,T008,Expansion,2017,
MN-08-03R,any,101P60026,MN-08-03,Duluth,Duluth,MN000001,Minnesota,T007,Establishment,2008,
MN-14-08,any,101P75012,MN-14-08,Cass Lake,Cass Lake,MN000002,Minnesota,T007,Establishment,2014,
MO-14-12,any,101P75014,MO-14-12,Higginsville,Higginsville,MO000001,Missouri,T008,Expansion,2014,
MO-14-13,any,101P75013,MO-14-13,Springfield,Springfield,MO000002,Missouri,T008,Expansion,2014,
MP-17-05,any,101P95002,MP-17-05,Saipan,Saipan,MP000001,Saipan,T008,Expansion,2017,
MT-16-17,any,101P95014,MT-16-17,Miles City,Miles City,MT000001,Montana,T008,Expansion,2016,
NC-16-06,any,101P85006,NC-16-06,Spring Lake,Spring Lake,NC000001,North Carolina,T010,Operations and Maintenance,2016,
NC-16-07,any,101P85009,NC-16-07,Jacksonville,Jacksonville,NC000002,North Carolina,T010,Operations and Maintenance,2016,
NC-17-08,any,101P85004,NC-17-08,Spring Lake,Spring Lake,NC000003,North Carolina,T008,Expansion,2017,
NC-17-09,any,101P85003,NC-17-09,Black Mountain,Black Mounta,NC000004,North Carolina,T008,Expansion,2017,
ND-14-04,any,101P75010,ND-14-04,Fort Yates,Fort Yates,ND000001,North Dakota,T007,Establishment,2014,
ND-18-05,any,101P95000,ND-18-05,Fort Yates,Fort Yates,ND000002,North Dakota,T008,Expansion,2018,
NH-16-06,any,101P85002,NH-16-06,Boscawen,Boscawen,NH000001,New Hampshire,T008,Expansion,2016,
NM-14-02,any,101P75015,NM-14-02,Gallup,Gallup,NM000001,New Mexico,T007,Establishment,2014,
NM-14-03,any,101P85012,NM-14-03,Angel Fire,Angel Fire,NM000002,New Mexico,T007,Establishment,2014,
8979-000011,64-19-109,897J95008,NRM064190009,Perimeter Wall Cap Repairs,ReprWallCap,NRM,Nonrecurring Maintenance,,,,
8028-000015,802-NRM18-03,802J85013,NRM802180003,Design for FCA Repairs,DsgnFCARepr,NRM,Nonrecurring Maintenance,,,,
8038-000006,803-NRM18-10,803J850004,NRM803180010,Replace parking area concrete and shed outside maint. Bldg,RpPkConcShed,NRM,Nonrecurring Maintenance,,,,
8069-000016,806-19-107,806J95008,NRM806190007,Renovate Admin Building/PIC,RenoAdminMtc,NRM,Nonrecurring Maintenance,,,,
8069-000010,806-19-108,806J95007,NRM806190008,Replace Grave Section Markers,RplGrvSecMrk,NRM,Nonrecurring Maintenance,,,,
8138-000033,813-NRM18-09,813J85017,NRM813180009,Install Underground Conduit ,InsUndCondt,NRM,Nonrecurring Maintenance,,,,
8219-000012,814-19-103,821J95004,NRM814190003,Flagstone Repairs at Rostrum,ReprFlagRost,NRM,Nonrecurring Maintenance,,,,
8158-000020,815-NRM18-18,815J85012,NRM815180018,"Replace Trash Receptacles, Watering Stns, Primary Wayfinding","RplcTR,WS,PW",NRM,Nonrecurring Maintenance,,,,
8158-000050,815-NRM18-20,815J85024,NRM815180020,Design services to replace water main,Watermain,NRM,Nonrecurring Maintenance,,,,
8159-000041,815-NRM19-17,815J95023,NRM815190017,Replace Water Service Lines,RplWtrSrvLin,NRM,Nonrecurring Maintenance,,,,
8159-000044,815-NRM19-18,815J95022,NRM815190018,Emergency- Restore Lodge Windows/Plaster Ceiling,Lodge,NRM,Nonrecurring Maintenance,,,,
8178-000004,817-18-106,817J85003,NRM817180106,Renovate Admin/Maint,RenoAdminMtc,NRM,Nonrecurring Maintenance,,,,
8218-000010,821-18-108,821J85015,NRM821180108,Upgrade Public Restrooms at Admin Bldg,UpgPblRstRm,NRM,Nonrecurring Maintenance,,,,
8298-000002,829-18-201,829J85002,NRM829180201,Site - Repair Historic Brick Wall,SiteReprHist,NRM,Nonrecurring Maintenance,,,,
8299-000002,829-19-201,829J95002,NRM829190001,Site - Repair Historic Wall and Install Protective Bollards,SiteReprHist,NRM,Nonrecurring Maintenance,,,,
8309-000014,830-NRM19-0001,830P90056,NRM830190001,Door Installation in Lobby with keypad,InsDrLobby,NRM,Nonrecurring Maintenance,,,,
8309-000014,830-NRM19-0001,830P90057,NRM830190001,Door Installation in Lobby with keypad,InsDrLobby,NRM,Nonrecurring Maintenance,,,,
8309-000015,830-NRM19-0021,830J95008,NRM830190021,Repair to maint bldg locker room,MaintBldg,NRM,Nonrecurring Maintenance,,,,
8328-000006,832-18-201,832J85005,NRM832180201,Site - Improve Drainage Between Sections MM/LL and 29-37 ,ImpDrnBtwSec,NRM,Nonrecurring Maintenance,,,,
8328-000005,832-18-202,832J85004,NRM832180202,"Site-Rpl Ste Dir, Id, Info Sign;Rpl Old Trash, Vase Receptac",SiteRplcSte,NRM,Nonrecurring Maintenance,,,,
8329-000002,832-19-201,832J95004,NRM832190001,Site - Install Conduit and Fiber from Pull-Box to Admin,InsCondFib,NRM,Nonrecurring Maintenance,,,,
8338-000009,833-NRM18-008,833J85006,NRM833180008,Screen Fence Project,ScrnFnceProj,NRM,Nonrecurring Maintenance,,,,
8398-000025,839-NRM18-05,839J85065,NRM839180005,Design Renovation of Public Restrooms and Admin Bldg,DsgnRenoPRst,NRM,Nonrecurring Maintenance,,,,
8399-000060,839-NRM19-09,839J95214,NRM839190009,Renovate Public Restrooms and Admin Bldg,RenoAdminMtc,NRM,Nonrecurring Maintenance,,,,
8428-000005,842-18-202,842J85002,NRM842180202,"Bldg-Repair SSM Roof Coating Admin, Shelter, Carillon Tower",BlgRepairRof,NRM,Nonrecurring Maintenance,,,,
8429-000003,842-19-201,842J95002,NRM842190001,"Bldg - Admin, Renovate Staff Restroom; Replace Tile Floors",RenoAdminMtc,NRM,Nonrecurring Maintenance,,,,
8438-000003,843-NRM18-006,843J85003,NRM843180006,"Remove and replace the asphalt roadways, sidewalks and curb ",Rmve&RplAsph,NRM,Nonrecurring Maintenance,,,,
8448-000006,844-18-202,844J85005,NRM844180202,"Bldg - Shelter, Repaint SSM Roof",BldgShelter,NRM,Nonrecurring Maintenance,,,,
8479-000008,847-19-201,847J95005,NRM847190001,"Bldg - Lodge, Renovate Interior (Replacement Project)",Lodge,NRM,Nonrecurring Maintenance,,,,
8498-000019,849-NRM18-04,849J85015,NRM849180004,Design Maintenance Bldg,DsgnMtcBldg,NRM,Nonrecurring Maintenance,,,,
8498-000021,849-NRM18-06,849J85013,NRM849180006,Restore Rostrum and Pump House,RostPmpHouse,NRM,Nonrecurring Maintenance,,,,
8498-000020,849-NRM18-07,849J85012,NRM849180007,Design Maintenance Bldg,DsgnMtcBldg,NRM,Nonrecurring Maintenance,,,,
8499-000027,849-NRM19-04,849J95217,NRM849190004,Renovate Maintenance Building,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
8499-000032,849-NRM19-12,849J95216,NRM849190012,Design to Renovate Maintenance Bldg,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
8499-000030,849-NRM19-15,849J95215,NRM849190015,Design to Renovate Maintenance Bldg,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
8519-000013,851-19-201,851J95017,NRM851190001,"Bldg - Chapel, Repair Dalle de Verre (Mosaic Glass) Windows",ChapleRpr,NRM,Nonrecurring Maintenance,,,,
8519-000015,851-19-202,851J95016,NRM851190002,Irr - Install 11 Irrigation Main Isloation Valves,InsIrrMnVlv,NRM,Nonrecurring Maintenance,,,,
8519000012,851-19-203,851J95015,NRM851190003,"Site - Seal Roads, Phs 1",SiteSealRds,NRM,Nonrecurring Maintenance,,,,
9308-000050,855-NRM18-007,930J85057,NRM855180007,Flagpole Repair,RepFlPole,NRM,Nonrecurring Maintenance,,,,
8568-000005,856-NRM18-0013,856J85004,NRM856180013,Replace Flower Watering Station,RplFlwerWat,NRM,Nonrecurring Maintenance,,,,
8569-000003,856-NRM19-0008,856J95002,NRM856190008,Address septic system for old maintenance bldg and lodge bec,MaintBldg,NRM,Nonrecurring Maintenance,,,,
8588-000004,858-18-202,858J85003,NRM858180202,"Site-Rpl Ste Signage, Str& Directional; Inst New Traffic&Dir",RplSteSign,NRM,Nonrecurring Maintenance,,,,
8609-000025,860-NRM19-0026,860J95012,NRM860190026,Admin Building Roof and Subsequent Damage,AdmBldgRf,NRM,Nonrecurring Maintenance,,,,
8658-000010,865-NRM18-0012,865J85004,NRM865180012,Replace Flower Watering Station,RplFlwerWat,NRM,Nonrecurring Maintenance,,,,
8659-000018,865-NRM19-0007,865J95216,NRM865190007,Fuel Tank Removal ,FuelTank,NRM,Nonrecurring Maintenance,,,,
8678-000002,867-NRM18-007,867J85001,NRM867180007,Repave the concrete roads and  concrete curbs,RepvConcrtRd,NRM,Nonrecurring Maintenance,,,,
8719-000031,871-NRM19-0021,871J95022,NRM871190021,Solar Powered Street Lights,SlrPwrStrLgt,NRM,Nonrecurring Maintenance,,,,
8729-000063,872-NRM19-02,872J95221,NRM872190002,Replace Roof Maintenance Building,RplRfMtnBldg,NRM,Nonrecurring Maintenance,,,,
8729-000064,872-NRM19-16,872J95215,NRM872190016,Design to Renovate Front Entrance and Memorial Walkway,MemWalk,NRM,Nonrecurring Maintenance,,,,
8768-000046,876-NRM18-11,876J85025,NRM876180011,"Design Renovation of Maintenance Bldg, Sidewalks",DsgnRenoMtc,NRM,Nonrecurring Maintenance,,,,
8768-000033,876-NRM18-12,876J85019,NRM876180012,Mill and Repave Asphalt Roads,MilRpAsphRd,NRM,Nonrecurring Maintenance,,,,
8768-000045,876-NRM18-13,876J85023,NRM876180013,"Design Renovation of Maintenance Bldg, Sidewalks",DsgnRenoMtc,NRM,Nonrecurring Maintenance,,,,
8768-000039,876-NRM18-14,876J85021,NRM876180014,"Design Renovation of Maintenance Bldg, Sidewalks",DsgnRenoMtc,NRM,Nonrecurring Maintenance,,,,
8769-000038,876-NRM19-07,876J95027,NRM876190007,Renovate Maintenance Building,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
8769-000014,876-NRM-HF,876J95004,NRM8761900HF,Hurricane Florence Flood Recovery,Hurricane,NRM,Nonrecurring Maintenance,,,,
8799-000004,879-19-111,879J95002,NRM879190011,Restore Entrance Gate,EntranceGate,NRM,Nonrecurring Maintenance,,,,
8849-000009,884-19-104,884J95006,NRM884190004,Replace 8 Overhead Doors at Maintenance Building,RplOvrDrMtnB,NRM,Nonrecurring Maintenance,,,,
8868-000008,886-18-201,886J85001,NRM886180201,"Bldg - Admin, Replace Carpet and Baseboards",BldgAdminRCB,NRM,Nonrecurring Maintenance,,,,
8869-000016,886-19-203,886J95009,NRM886190003,Site - Repair Drywells; Install Area Drain and Underdrain Be,SiteReprDry,NRM,Nonrecurring Maintenance,,,,
8889-000031,888-19-201,888J95027,NRM888190001,Repair PIC Breezeway Roof Membrane,ReprPIC,NRM,Nonrecurring Maintenance,,,,
8909-000003,890-19-110,890J95002,NRM890190010,Committal Shelter Repairs/Maint. Bldg. Repairs,MaintBldg,NRM,Nonrecurring Maintenance,,,,
8928000026,892-NRM-FY18-007,892J85024,NRM892180007,Major Landscape Areas,MajLdscapeA,NRM,Nonrecurring Maintenance,,,,
8979-000014,893-19-105,897J95009,NRM893190005,Road/Parking Lot Repairs,ReprRdLot,NRM,Nonrecurring Maintenance,,,,
8948-000040,894-18-105,894J85017,NRM894180105,Misc. FCA Repairs - New Maintenance Bldg.,MiscFCAReprs,NRM,Nonrecurring Maintenance,,,,
8949-000033,894-19-102,894J95021,NRM894190002,Replace Booster Pumps,RplBstrPump,NRM,Nonrecurring Maintenance,,,,
8978-000013,897-18-102,897J85007,NRM897180102,Replace Admin Building Roof,RplAdminBlg,NRM,Nonrecurring Maintenance,,,,
8979-000015,897-19-106,897J95010,NRM897190006,Update Signage,UpdSignage,NRM,Nonrecurring Maintenance,,,,
8998-00014,899-NRM-FY18-001,899J885018,NRM899180001,Repl. (Lower) Committal Court Sidewalk,RepLwrComtCt,NRM,Nonrecurring Maintenance,,,,
9018-000051,901-NRM-FY18-008,VA901J85034,NRM901180008,Roof Access Ladders,RooAcc Ladde,NRM,Nonrecurring Maintenance,,,,
8959-000018,903-NRM-FY19-014,895J95028,NRM903190014,Flow Meter & Master Valve,FlwMtrMstVlv,NRM,Nonrecurring Maintenance,,,,
9048-000022,904-NRM-FY18-005,904J85019,NRM904180005,Rostrum Renovation,RosumRnvtion,NRM,Nonrecurring Maintenance,,,,
9049-000006,904-NRM-FY19-005,904J95014,NRM904190005,Road & Curb Repair & Sealing,RepreRdCurb,NRM,Nonrecurring Maintenance,,,,
9069-000011,906-NRM-FY19-003,906J95026,NRM906190003,Reconf. Irrig (Point of Connection),RecnfIrrig,NRM,Nonrecurring Maintenance,,,,
9088-000009,908-NRM18-0001,908J85004,NRM908180001,Replace Irrigation Central Control,RepIrrigatCC,NRM,Nonrecurring Maintenance,,,,
9098-000007,909-18-107,909J85003,NRM909180107,Renovate Honor Guard Building,RenoHGrdBldg,NRM,Nonrecurring Maintenance,,,,
9099-000003,909-19-101,909J95004,NRM909190001,Mill & Pave Maintenance Yard,MaintYard,NRM,Nonrecurring Maintenance,,,,
9108-000007,910-NRM-FY18-011,910J85012,NRM910180011,Remodel Admin Office,RemodAdmnOff,NRM,Nonrecurring Maintenance,,,,
9119-000024,911-NRM19-0010,911J95002,NRM911190010,Sinkhole Remediation,SinkholdRemd,NRM,Nonrecurring Maintenance,,,,
9119-000023,911-NRM19-0022,911J95015,NRM911190022,Remove Underground Fuel Tanks,FuelTank,NRM,Nonrecurring Maintenance,,,,
9128-000007,912-NRM18-01,912J85005,NRM912180001,Construct Slope Stabilization,ConstrSlpStb,NRM,Nonrecurring Maintenance,,,,
9128-000017,912-NRM18-21,912J85007,NRM912180021,Electrical & roof work at maintenance bldg,MaintBldg,NRM,Nonrecurring Maintenance,,,,
913P80142,913-NRM-FY18-010,Purchase card,NRM913180010,Topo Survey  Tullie Diversion,TopSurveyTul,NRM,Nonrecurring Maintenance,,,,
9139-000009,913-NRM-FY19-007,913J95012,NRM913190007,Seal Roads,SealRds,NRM,Nonrecurring Maintenance,,,,
9168-000020,916-18-202,916J85016,NRM916180202,"Site - Maint. Bldg, Yard Trench Drain (South)",SiteMtcBldg,NRM,Nonrecurring Maintenance,,,,
9168-000009,916-18-203,916J85013,NRM916180203,Site-Concrete Road Maint. (West) and Sidewalk Replacements,SitConcrtMtc,NRM,Nonrecurring Maintenance,,,,
9198-000016,919-NRM-FY18-006,VA919J85022,NRM919180006,Replace Skylights,ReplSkylight,NRM,Nonrecurring Maintenance,,,,
9199-000019,919-NRM-FY19-006,919J95022,NRM919190006,Slurry Seal Roads & Mill/overlay Staff Lot,SealRds,NRM,Nonrecurring Maintenance,,,,
9208-000008,920-18-201,920J85004,NRM920180201,"Site - Reseal Roads, Phs 1",SiteRsealRds,NRM,Nonrecurring Maintenance,,,,
9209-000003,920-19-201,920J95002,NRM920190001,Irr - Replace Isolation Valves (in road),RplIsoVlv,NRM,Nonrecurring Maintenance,,,,
9209-000002,920-19-202,920J95003,NRM920190002,"Site - Reseal Roads, Phs 2",SiteRsealRds,NRM,Nonrecurring Maintenance,,,,
9228-000018,922-NRM18-0010,922J85006,NRM922180010,Replace Flower Watering Station,RplFlwerWat,NRM,Nonrecurring Maintenance,,,,
9229-000003,922-NRM19-0011,922J95002,NRM922190011,Replace main fire alarm control panel in Admin,RplAdminBlg,NRM,Nonrecurring Maintenance,,,,
9229-000004,922-NRM19-0014,922J95003,NRM922190014,Replace MTS for generator with an ATS,RplMTSGen,NRM,Nonrecurring Maintenance,,,,
9238-000017,923-18-109,923J85017,NRM923180109,Replace Rdige Vent - All Bldgs,RepRdigeVent,NRM,Nonrecurring Maintenance,,,,
9258-000026,925-NRM18-15,925J85016,NRM925180015,Install Drainage for Burial Areas,InsDrnBurial,NRM,Nonrecurring Maintenance,,,,
9268-000011,926-NRM18-16,926J85007,NRM926180016,Renovate Maintenance Bldg Interior,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
9308-000053,930-NRM18-0002,930J85059,NRM930180002,Remove Grasspave&Inst Asphalt Paving Cmt Accss to Burial Sec,RmveGrsspve,NRM,Nonrecurring Maintenance,,,,
9309-000039,930-NRM19-0016,930J95203,NRM930190016,Add overfill/leakage alarms for vehicle fueling AST. FCA ID ,FuelTank,NRM,Nonrecurring Maintenance,,,,
9309-000041,930-NRM19-0023,930J95204,NRM930190023,Lighting Protection Improvements,LightingProt,NRM,Nonrecurring Maintenance,,,,
9318-000042,931-NRM18-0003,931J85061,NRM931180003,Replace Fuel Storage Tank,RplFuelStrge,NRM,Nonrecurring Maintenance,,,,
9319-000034,931-NRM19-0018,931J9214,NRM931190018,Replace Dimming System,RplDimSys,NRM,Nonrecurring Maintenance,,,,
9349-000012,934-NRM19-0025,934J95010,NRM934190025,Water Treatment System Improvements,WtrTrtmtSys,NRM,Nonrecurring Maintenance,,,,
8039-000019,any,803J95204,NS0803190002,Bath,Bath,NS,National Shrine,,,,
8099-000012,any,809J95004,NS0809190003,Danville,Danville,NS,National Shrine,,,,
8158-000042,any,815J85017,NS0815180003,Long Island NC,LINC,NS,National Shrine,T001,Beam system,,
8159-000035,any,815J95015,NS0815190001,Long Island NC,LINC,NS,National Shrine,T001,Beam system,,
8188-000040,any,818J85026,NS0818180004,Togus West,Togus West,NS,National Shrine,,,,
8239-000011,any,823J95004,NS0823190004,Wood,Wood,NS,National Shrine,T002,Raise & Realign,,
8319-000005,any,831J95003,NS0831190005,Beaufort,Beaufort,NS,National Shrine,T003,Turf Renovation,,
8439-000005,any,843J95004,NS0843190006,Florence,Florence,NS,National Shrine,,,,
8449-000005,any,844J95003,NS0844190007,Ft. Gibson,Ft. Gibson,NS,National Shrine,T003,Turf Renovation,,
8469-000019,any,846J95022,NS0846190008,Fort Sam Houston,FtSamHouston,NS,National Shrine,T001,Beam system,,
8518-000008,any,851J85008,NS0851180006,Houston NC,Houston,NS,National Shrine,,,,
8529-000025,any,852J95016,NS0852190009,Jefferson Barracks,JeffBarracks,NS,National Shrine,,,,
8529-000025,any,852J95019,NS0852190009,Jefferson Barracks,JeffBarracks,NS,National Shrine,,,,
8588-000002,any,858J85002,NS0858180007,Little Rock NC,Little Rock,NS,National Shrine,,,,
8639-000004,any,863J95001,NS0863190010,Mound City,Mound City,NS,National Shrine,,,,
8658-000003,any,865J85003,NS0865180005,Nashville,Nashville,NS,National Shrine,,,,
8669-000006,any,866J95005,NS0866190011,Natchez,Natchez,NS,National Shrine,,,,
8849-000013,any,884J95013,NS0884190012,Black Hills,Black Hills,NS,National Shrine,T003,Turf Renovation,,
8889-000018,any,888J95020,NS0888190013,Yellowstone,Yellowstone,NS,National Shrine,,,,
8889-000019,any,888J95024,NS0888190014,Ft. Logan,Ft. Logan,NS,National Shrine,,,,
8948-000043,any,894J85016,NS0894180011,Ft. Snelling,Ft. Snelling,NS,National Shrine,,,,
8979-000023,any,897J95011,NS0897190015,Ft. Scott,Ft. Scott,NS,National Shrine,,,,
8989-000015,any,898J95015,NS0898190016,LANC,LANC,NS,National Shrine,T003,Turf Renovation,,
9158-000017,any,915J85013,NS0915180014,Abraham Lincoln,Abe Lincoln,NS,National Shrine,,,,
9169-000025,any,916J95017,NS0916190017,Dallas/Ft. Worth,DFW,NS,National Shrine,,,,
SC-18-04,any,101P95004,SC-18-04,Anderson,Anderson,SC000001,South Carolina,T008,Expansion,2018,
SD-14-03-1,any,101P85015,SD-14-03,Sisseton,Sisseton,SD000001,South Dakota,T009,Improvement,2014,
SD-14-03,any,101P60000,SD-14-03,Sisseton,Sisseton,SD000001,South Dakota,T007,Establishment,2014,
SD-18-06,any,101P95008,SD-18-06,Sioux Falls,Sioux Falls,SD000002,South Dakota,T007,Establishment,2018,
TN-10-14,any,101P60006,TN-10-14,Jackson ,Jackson ,TN000001,Tennessee,T007,Establishment,2010,
TN-16-19,any,101P75007,TN-16-19,Knoxville,Knoxville,TN000002,Tennessee,T008,Expansion,2016,
TN-17-20,any,101P85014,TN-17-20,Knoxville,Knoxville,TN000003,Texas,T009,Improvement,2017,
TX-17-18,any,101P85005,TX-17-18,Killeen,Killeen,TX000001,Texas,T008,Expansion,2017,
TX-17-20,any,101P95009,TX-17-20,Abilene,Abilene,TX000002,Texas,T008,Expansion,2017,
TX-18-21,any,101P95010,TX-18-21,Corpus Christi,Corpus Chris,TX000003,Texas,T008,Expansion,2018,
VA-17-09,any,101P85010,VA-17-09,Suffolk,Suffolk,VA000001,Virginia,T008,Expansion,2017,
VT-05-04,any,101P50009,VT-05-04,Montpelier,Montpelier,VT000001,Vermont,T008,Expansion,2005,
WA-13-02,any,101P60007,WA-13-02,Medical Lake,Medical Lake,WA000001,Washington,T008,Expansion,2013,
WI-15-13,any,101P75009,WI-15-13,King,King,WI000001,Wisconsin,T008,Expansion,2015,
