FMS_RSC,FMS_RSC_NAME,IFAMS_REVENUE_SOURCE_CODE,IFAMS_REVENUE_SOURCE_CODE_NAME,LOAD_DATE
1000,MISCELLANEOUS REVENUE,900N07,Non-Reimbursable-Staff Offices and Franchise Fund,
1010,INTEREST REVENUE,920N01,Non-Reimbursable-Interest,
3010,GOE ADMIN SUPPORT,920R12,Reimbursable- GOE Admin Support,
8019,GENERAL POST FUND RESEARCH,900N01,Non-Reimbursable-General Post Fund Research,
8031,RECYCLING INCOME,920N11,Non-Reimbursable-Recycling Income,
8046,VHA ADMIN CHARGES,920N02,Non-Reimbursable-Administrative Cost,
8047,VHA INTEREST CHARGES,920N01,Non-Reimbursable-Interest,
8048,VHA MARSH FEES & COURT COSTS,900N03,Non-Reimbursable-VHA  Marsh Fees & Court Costs,
9040,UNRESTRICTED DONATIONS,930N03,Non-Reimbursable-General Donations - Unrestricted,
9041,SPEC DONATIONS - AVAIL,930N05,Non-Reimbursable-Specific Donations - Available,
9045,GEN DONATIONS - UNAVAIL,930N02,Non-Reimbursable-General Donations - Unavailable,
9046,GEN DONATIONS - AVAIL,930N01,Non-Reimbursable-General Donations - Available,
9047,COLL RECV-SALE OF EX PROP,910N01,Non-Reimbursable-Sale of Expensed Supplies Inventory,
9050,GEN CASH DONATIONS-CO,930N01,Non-Reimbursable-General Donations - Available,
9051,SALE OF DONATE SECUR-CO,910N02,Non-Reimbursable-Sale of Investments in Securities,
9052,SALE OF EQUIPMENT,910N03,"Non-Reimbursable-Sale of Property, Plant, and Equipment",
9053,INVESTMENTS REDEEMED-CO,910N04,Non-Reimbursable-Sale of Investments in Securities,
9056,COLLECTION ACCR. INTRST,920N03,Non-Reimb-Interests Income-Loans Receivable and Investments,
9057,RENTAL INCOME,920N04,Non-Reimbursable-Rental Income,
A111,EAST ORANGE ANTENNA -A111,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A112,EAST ORANGE ANTENNA-A112,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A117,MANHATTAN NYU #2,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A118,MANHATTAN NYU #3,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A121,MANHATTAN NYU 16S,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A124,MANHATTAN ANTENNA-A124,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A153,SAN FRANCISCO ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A181,W CHICAGO ROOFTOP ANTENNA-A181,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A184,N CHICAGO WATERTOWER ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A185,N CHICAGO BLDG 1,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A186,N CHICAGO ROOFTOP ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A189,RSC ENHANCE SHARING AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A191,IRON MOUNTAIN ANTENNA BLDG 1,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A197,MADISON ROOFTOP ANTENNA A197,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A220,NASHVILLE CBOC,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A233,N HAMPTON B-6 & 26;  FL 1&2,A00R02,Reimbursable-Office Enhanced Sharing Asset Revenue,
A242,LYONS BERNARDS 9 HOLE GOLF COU,A00R06,Reimbursable-Vacant Land Enhanced Sharing Asset Revenue,
A249,E ORANGE SPRINT/DARNET ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A256,LOMA LINDA TELECOM TOWER A256,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A258,LOMA LINDA TELECOM TOWER A258,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A260,L BEACH TELECOM TOWER A260,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A262,SAN FRANCISCO ANTENNA A262,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A264,SAN FRANCISCO CITY AND COUNTY,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A268,W LA WESTSIDE SERVICES,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A271,"W LA NEW DIRECTIONS, INC.",A00R03,Reimbursable-Other Enhanced Sharing Asset Revenue,
A278,W LA NISSAN OPEN/LAJCC,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A281,PORTLAND PEDESTRAIN BRIDGE AGR,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A282,PORTLAND ROOF ANTENNA OSHU,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A283,PORTLAND ROOF ANTENNA SPRINT,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A284,PORTLAND ROOF ANTENNA VERIZON,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A285,PORTLAND ROOF ANTENNA VOICE ST,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A295,SALT LK CRICKET CELL ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A297,CELL TOWER,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A302,526 - GSA LEASE,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A305,608 - PORTSMOUTH CLINIC,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A319,590 - ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A321,537 - ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A324,613 - ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A327,528 - USE OF SPACE,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A339,528 - USE OF SPACE,A00R07,Reimbursable-Warehouse Enhanced Sharing Asset Revenue,
A341,528 - USE OF SPACE,A00R03,Reimbursable-Other Enhanced Sharing Asset Revenue,
A343,528 - USE OF SPACE,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A344,528 - USE OF SPACE,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A349,542 - USE OF SPACE,A00R03,Reimbursable-Other Enhanced Sharing Asset Revenue,
A358,695 - USE OF SPACE,A00R03,Reimbursable-Other Enhanced Sharing Asset Revenue,
A371,520-ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A386,ENHANCE SHARING AGMT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A400,MISSOURT CELL ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A427,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A429,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A431,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A432,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A433,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A434,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A436,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A437,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A440,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A457,RSC ENHANCE SHARING AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A459,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A470,WIREGRASS,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A474,SPRINT IPCS,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A475,MORGUE SERVICES,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A476,AMBULANCE EMERGENCY RADIO,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A477,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A480,T-MOBILE CELL SVC,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A482,KCRG CEDAR RAPIDS TV,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A483,LANDIS GYR D/K/A CELLNET,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A485,SPRINT SPECTRUM ROOFTOP ANTENN,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A486,UNIVERSITY OF SYRACUSE PARKING,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A487,FT. BENNING PRIMARY CARE CLINI,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A488,CINGULAR ROOFTOP ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A489,CINGULAR ROOFTOP ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A491,SPRINT ROOFTOP ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A492,3Q LAB LEASE,A00N01,Non-Reimbursable-Lab(s) Enhanced Sharing Asset Revenue,
A493,DEPT. OF THE NAVY,A00N06,Non-Reimbursable-Vacant Land Enhanced Sharing Asset Revenue,
A496,ATT WIRELESS,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A499,ANTENNAS T-MOBILE,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A500,ANTENNAS NEW CINGULAR WIRELESS,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A509,AT&T ANTENNA AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A511,VERIZON WIRELESS ANTENNA AGREE,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A513,NTELOS INC.,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A514,UP STATE CREDIT UNION,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A519,T-MOBILE ANTENNA AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A520,FRIENDSHIP UNITED METHODIST,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A521,VERIZON,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A522,SPRINT ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A523,FAIRFIELD/TRAVIS AFB OPC,A00R02,Reimbursable-Office Enhanced Sharing Asset Revenue,
A524,POPLAR BLUFF REALTY,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A526,VERIZON CELL TOWER,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A527,SPRINT ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A528,T- MOBILE LAND USE,A00N06,Non-Reimbursable-Vacant Land Enhanced Sharing Asset Revenue,
A529,PROJECT COMMUNITY CONNECTION,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A530,MARY HALL FREEDOM HOUSE,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A531,HOPE ATL,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A532,GA DEPT. OF VET. SVCS.,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A533,DECATUR COOPERATIVE MINISTRY,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A534,ACTION MINISTRIES,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A535,UNITED WAY OF GREATER ATLANTA,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A536,RECOVERY CONSULTANTS OF ATL,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A538,ATLANTA LEGAL AID,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A539,USC SCHOOL OF MED. LAB SHARE,A00R01,Reimbursable-Lab(s) Enhanced Sharing Asset Revenue,
A540,FORT BELVOIR CBOC,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
ANCL,MISC RECEIPT-ANNUAL CLOSE,920N10,Non-Reimbursable-Misc. Receipt-Annual Close,
AR12,AR-CONVERSION,940N01,AR-12 Conversion,
ARRV,REVENUE-AR,920N05,Non-Reimbursable-Revenue-AR,
CANT,CANTEEN INTERFACE,940R02,Reimbursable-Canteen Interface,
CNV1,CONVERSION-ACT REIMB,940R03,Conversion-Act Reimbursable ,
CONV,CONVERSION,940N04,Conversion,
DD01,COMMODITIES COST,SF0N05,Non-Reimbursable-Other Commodities Revenue,
DD02,COMMODITIES MARKUP,SM0N05,Non-Reimbursable-Other Commodities Mark Up Revenue,
DD03,CUSTOM HEARING COSTS,SF0N02,Non-Reimbursable-Hearing Aid Commodities Revenue,
DD04,CUSTOM HEAR MARKUP,SM0N02,Non-Reimbursable-Hearing Aid Mark Up Revenue,
DD05,HEARING AID REPAIRS,SR0N01,Non-Reimbursable-Maintenance and Repairs Fee Revenue,
DD06,TELEHEALTH SVC FEES,SR0N03,Non-Reimbursable-Telehealth Service Fee Revenue,
E100,863 - CONVERSION,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E103,COMMERCIAL,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E104,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E106,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E108,SINGLE RESIDENCE OCCUPANCY,E00N02,Non-Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E110,PARKING,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E113,ENHANCE USE LEASE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E115,CHILD DEVELOPMENT CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E116,MIXED USE/RESEARCH,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E117,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E118,HOSPICE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E120,PUBLIC SAFETY CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E121,MEDICAL SCHOOL,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E122,ENERGY CENTER,E00N08,Non-Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E124,CONSOLIDATION,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E126,SENIOR HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E127,ENERGY CENTER,E00N08,Non-Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E129,SINGLE RESIDENCE OCCUPANCY,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E131,ENERGY CENTER,E00R08,Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E133,RESIDENTIAL HEALTH CARE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E136,CHILD DEVELOPMENT CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E137,ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E138,SINGLE RESIDENCE OCCUPANCY,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E139,SINGLE RESIDENCE OCCUPANCY,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E140,HOMELESS HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E143,CREDIT UNION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E144,PARKING,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E145,GOLF COURSE,E00R02,Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E146,HOMELESS HOUSING,E00R04,Reimbursable-Vacant Land Enhanced -Use Lease Assets Revenue,
E147,ADAPTIVE REUSE STORAGE FALTY,E00N05,Non-Reimbursable-Warehouse Enhanced-Use Lease Assets Revenue,
E148,101 - ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E149,NEW RO AND PARKING STRUCTURE,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E150,CHILDCARE CENTER,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E151,MVHO,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E156,MUSC PARTNERSHIP (LAND SWAP),E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E157,ASSISTED LIVING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E159,HOMELESS HOUSING,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E163,HOMELESS HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E165,528 ASSISTED LIVNG BATAVIA,E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E166,580 HEALTH CARE USE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E169,ASSISTED LIVING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E177,632 - ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E178,529 - ENHANCE USE LEASE,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
